lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
Bc1	Purb	RNA-Protein	Regulation	Mus musculus	Experiments demonstrated that the single-stranded DNA- and RNA-binding protein pur alpha and its isoform, pur beta, linked BC1 RNA to microtubules (MTs).	NULL	NULL	In vitro	11032866
Bc1	Pura	RNA-Protein	Binding	Mus musculus	BC1 RNA associates with Pur	NULL	activate transcription of BC1 gene by RNA polymerase III in vitro	RNA IP	11032728
Bc1	Tsn	RNA-Protein	Binding	Mus musculus	we demonstrated that BC1 RNP contained two,y-,h-element-binding proteins, m-Translin and a 37kDa protein	NULL	NULL	In vitro	9636644
Bc1	Eif4ebp1	RNA-Protein	Binding	Mus musculus	Bp-1 protein may bind to a newly synthesized BC-1 RNA	NULL	NULL	In vitro	1449502
Blnc1	Ebf2	DNA-Protein	Binding	Mus musculus	ChIP assay and reporter gene studies indicate that Blnc1 is a direct target of EBF2; EBF2 is recruited to the proximal promoter of Blnc1 and stimulates its expression.	adipocytes	promotes brown and beige adipocyte differentiation and function	Reporter Gene and ChIP Assays	25002143
Bvht	Suz12	RNA-Protein	Binding	Mus musculus	We also show that Bvht interacts with SUZ12, a component of Polycomb Repressive Complex 2 (PRC2), during cardiomyocyte differentiation suggesting that Bvht mediates epigenetic regulation of cardiac commitment. Bvht directly interacts with SUZ12 during CM differentiation	ESC Lines,neonatal cardiomyocytes		 RNAi, qRT-PCR and ChIP	23352431
C730036E19Rik	Tardbp	RNA-Protein	Binding	Mus musculus	LncLSTR Interacts with TDP-43 to Regulate Cyp8b1 Expression. TDP-43 binding to the Cyp8b1 promoter was clearly enhanced when lncLSTR was depleted	NULL	regulate TG clearance	RIP and ChIP assays	25738460
C730036E19Rik	Cyp8b1	RNA-Protein	Regulation	Mus musculus	LncLSTR Interacts with TDP-43 to Regulate Cyp8b1 Expression.Depletion of lncLSTR leads to increased binding of TDP-43, reduced Cyp8b1 gene expression,	NULL	regulate TG clearance	RIP and ChIP assays	25738460
Carlr	Mir539	RNA-RNA	Binding	Mus musculus	CARL can act as an endogenous miR-539 sponge that regulates PHB2 expression. CARL is able to directly bind to miR-539 in vivo. miR-539 recognize CARL is in a sequence-specific manner.	heart	CARL inhibits anoxia-induced mitochondrial ?ssion and apoptosis	Luciferase reporter assay, Pulldown assay 	24710105
Dalir	Pou3f3	RNA-TF	Binding	Mus musculus	Dali and POU3F3 protein may interact physically	neuronal tissues	NULL	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054
Dalir	Gatad2b	RNA-TF	Binding	Mus musculus	Direct interactions between the endogenous Dali transcript and four of these candidate binding proteins	neuronal tissues	NULL	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054
Dalir	Dnmt1	RNA-Protein	Binding	Mus musculus	both human and mouse Dali associate with DNMT1	neuronal tissues	NULL	UV-RIP	25415054
Dalir	Sin3a	RNA-Protein	Binding	Mus musculus	Direct interactions between the endogenous Dali transcriptand four of these candidate binding proteins	neuronal tissues	NULL	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054
Dalir	Smarca4	RNA-Protein	Binding	Mus musculus	Direct interactions between the endogenous Dali transcriptand four of these candidate binding proteins	neuronal tissues	NULL	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054
Dgcr5	Rest	DNA-TF	Regulation	Mus musculus	DGCR5 is a direct target of REST and downregulated by REST	neural stem cell	NULL	ChIP	19050060
Dlx6os1	Dlx1	RNA-TF	Binding	Mus musculus	Evf2 recruited DLX and MECP2 transcription factors to important DNA Regulation elements in the Dlx5/6 intergenic region and controlled Dlx5, Dlx6 and Gad1 expression through trans and cis-acting mechanisms.	NULL	Loss of Evf2 affects DLX and MECP2 binding to Dlx 5/6 intergenic enhancers	RIP	19620975
Dlx6os1	Dlx2	RNA-TF	Binding	Mus musculus	Evf2 recruited DLX and MECP2 transcription factors to important DNA Regulation elements in the Dlx5/6 intergenic region and controlled Dlx5, Dlx6 and Gad1 expression through trans and cis-acting mechanisms.	NULL	Loss of Evf2 affects DLX and MECP2 binding to Dlx 5/6 intergenic enhancers	RIP	19620975
Dlx6os1	Mecp2	RNA-TF	Binding	Mus musculus	Evf2 recruited DLX and MECP2 transcription factors to important DNA Regulation elements in the Dlx5/6 intergenic region and controlled Dlx5, Dlx6 and Gad1 expression through trans and cis-acting mechanisms.	orebrain	Loss of Evf2 affects DLX and MECP2 binding to Dlx 5/6 intergenic enhancers	RIP	19620975
Dlx6os1	Dlx2	RNA-TF	Binding	Mus musculus	Evf-2 and Dlx-2 form a complex in vivo	NULL	NULL	RIP	16705037
Dlx6os1	Smarca4	RNA-Protein	Binding	Mus musculus	While BRG1 directly interacts with DLX1 and Evf2 through distinct binding sites, Evf2 directly inhibits BRG1 ATPase and chromatin remodeling activities.	NULL	NULL	Fluorescent RNA in situ hybridization and immunolocalization (FISH/immuno), followed by confocal mic	26138476
Fendrr	Ezh2	RNA-Protein	Binding	Mus musculus	The tissue-specific lncRNA Fendrr binds to both the PRC2 and TrxG/MLL complexes	NULL	NULL	RIP	23369715
Fendrr	Suz12	RNA-Protein	Binding	Mus musculus	The tissue-specific lncRNA Fendrr binds to both the PRC2 and TrxG/MLL complexes	NULL	NULL	RIP	23369715
Fendrr	Wdr5	RNA-Protein	Binding	Mus musculus	The tissue-specific lncRNA Fendrr binds to both the PRC3 and TrxG/MLL complexes	NULL	NULL	RIP	23369715
Fendrr	Foxf1	RNA-DNA	Binding	Mus musculus	In vitro binding assay using synthetic RNA oligonucleotide reaveals that promoter fragments of both Foxf1 and Pitx2 coprecipitated with Fendrr.	NULL	NULL	In vitro RNA/dsDNA binding assay	23369715
Fendrr	Pitx2	RNA-DNA	Binding	Mus musculus	In vitro binding assay using synthetic RNA oligonucleotide reaveals that promoter fragments of both Foxf1 and Pitx2 coprecipitated with Fendrr.	NULL	NULL	In vitro RNA/dsDNA binding assay	23369715
Firre	Hnrnpu	RNA-Protein	Binding	Mus musculus	Firre directly and specifically binds to hnRNPU	interface with and modulate nuclear architecture across chromosomes	NULL	RIP	24463464
Firre	Ctcf	DNA-TF	Binding	Mus musculus	CTCF and RAD21 are bound to Firre in female liver (FL) but not in male liver (ML)	female liver	NULL	ChIP-chip	25887447
Firre	Rad21	DNA-Protein	Binding	Mus musculus	CTCF and RAD21 are bound to Firre in female liver (FL) but not in male liver (ML)	female liver	NULL	ChIP-chip	25887447
Ftx	Xist	DNA-DNA	Regulation	Mus musculus	Ftx impacts on gene expression within the Xic and in particular on Xist, as Xist is significantly downregulated in the absence of Ftx. These results identify Ftx as an activator of Xist in ES cells and suggest that Ftx could be a novel ncRNA involved in XCI.	ES cell lines	NULL	RNA-FISH, ChIP and MeDIP assays	21118898
G22	Pabpc1	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
G22	Srp14	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
G22	Srp9	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
Mirt2	Lgals3	RNA-Protein	Regulation	Mus musculus	Lgals3, which encodes the lectin galactoside-binding soluble 3, was significantly correlated with MIRT1 and MIRT2. 	NULL	NULL	Microarray and In situ hybridization	24917243
H19	Mbd1	RNA-TF	Binding	Mus musculus	We observed that the H19 RNA significantly coimmunoprecipitated with the MBD1 protein	NULL	NULL	RNA-IP	24297921
H19	Mirlet7e	RNA-RNA	Binding	Mus musculus	H19 binds to let-7 and inhibits its function, acting as a molecular sponge.	NULL	control timing of muscle differentiation	in vitro	24055342
H19	Mirlet7g	RNA-RNA	Binding	Mus musculus	H19 binds to let-7 and inhibits its function, acting as a molecular sponge.	NULL	control timing of muscle differentiation	in vitro	24055342
H19	Khsrp	RNA-Protein	Binding	Mus musculus	KSRP Directly Interacts with the H19 lncRNA.	the cytoplasm of proliferating C2C11 cells	NULL	crosslinking immunoprecipitation (HITS-CLIP)	25385579
H19	Hnrnpu	RNA-Protein	Binding	Mus musculus	the protein hnRNP U interacts with H19, H19 is bound to hnRNP U, and this interaction is located within the 5'882 nt region of H19. 	NULL	NULL	RIP	23811339
H19	Elavl1	RNA-Protein	Binding	Mus musculus	RNA immunoprecipitation experiments indeed confirmed HuR binding to H19	placentas	slowdown growth of the placenta in the second half of gestation, in preparation for parturition.	RNA immunoprecipitation	22684254
H19	Cdkn1c	RNA-DNA	Regulation	Mus musculus	Cdkn1c DMR is a target of H19 lncRNA but not of MDB1	NULL	NULL	RNA-IP	24297921
H19	Igf2	RNA-DNA	Regulation	Mus musculus	H19 lncRNA directly represses Igf2,Slc38a4,and Peg1 by recruiting the MDB1 protein to the DMRs of these three imprinted genes	NULL	NULL	RNA-IP	24297921
H19	Mest	RNA-DNA	Regulation	Mus musculus	H19 lncRNA directly represses Igf2,Slc38a4,and Peg1 by recruiting the MDB1 protein to the DMRs of these three imprinted genes	NULL	NULL	RNA-IP	24297921
H19	Slc38a4	RNA-DNA	Regulation	Mus musculus	H19 lncRNA directly represses Igf2,Slc38a4,and Peg1 by recruiting the MDB1 protein to the DMRs of these three imprinted genes	NULL	NULL	RNA-IP	24297921
H19	Myod1	DNA-TF	Binding	Mus musculus	Chromatin conformation capture experiments reveal direct interaction of CS9 with the H19 promoter, leading to increased H19 expression in the presence of Myod	embryonic muscles	NULL	ChIP-Seq	23406902
H19	Ctcf	DNA-TF	Binding	Mus musculus	H19 differentially methylated domain (DMD) controls, upon binding with the CTCF protein	muscle;kidney ; liver	NULL	Bisulfite sequencing analysis	21575277
H19	Ctcf	DNA-TF	Binding	Mus musculus	CTCF bound to the H19 ICR	NULL	NULL	ChIP	20427289
H19	Smad2	DNA-TF	Binding	Mus musculus	Smads Bind the H19 ICR in a CTCF-dependent Manner	NULL	NULL	ChIP	20427289
H19	Smad3	DNA-TF	Binding	Mus musculus	Smads Bind the H19 ICR in a CTCF-dependent Manner	NULL	NULL	ChIP	20427289
H19	Smad4	DNA-TF	Binding	Mus musculus	Smads Bind the H19 ICR in a CTCF-dependent Manner	NULL	NULL	ChIP	20427289
H19	Ctcf	DNA-TF	Binding	Mus musculus	the chromatin loop organized by the CTCF-bound, differentially methylated region at the Igf2/H19 locus can be detected in mitosis.	NULL	NULL	ChIP	16107875
H19	Ctcf	DNA-TF	Binding	Mus musculus	CTCF protects the H19 DMD from de novo methylation during oocyte growth and is required for normal preimplantation development.	NULL	NULL	In vitro	14716017
H19	Mecp2	DNA-TF	Binding	Mus musculus	MeCP2 is recruited to the H19 DMD in vivo and can silence a reporter gene regulated by the H19 DMD in a methylation-dependent manner	liver and brain	silencing the paternal H19 allele	ChIP	11861904
H19	Esr1	DNA-TF	Regulation	Mus musculus	In vitro experiments indicated that ERalpha up-regulated the H19 promoter.	MCF-7 cells,HBL-100	NULL	In vitro	10442637
H19	Lgals4	DNA-Protein	Binding	Mus musculus	GAL4 protein bound to the modified H19 DMR-UAS	HEK cells	NULL	CHIP	15273689
H19	Nctc1	DNA-DNA	Regulation	Mus musculus	Nctc1is co-regulated with Igf2 and H19 and physically interacts with the shared muscle enhancer.	muscle	Nctc1 imprinting	ChIP	23221643
H19	Igf2	DNA-DNA	Regulation	Mus musculus	H19 DMR has differential interactions with the Igf2 DMRs on the maternal and paternal alleles	HEK cells	NULL	3C assay	15273689
H19	Huc1	DNA-DNA	Regulation	Mus musculus	HUG1,as a enhancer, interact with the ICR at H19 and the epigenetically regulated silencer at DMR1 of Igf2	mesodermal tissues	epigenetically regulated silencer at differentially methylated region 1	in vitro and in vivo	11874916
H19	Huc2	DNA-DNA	Regulation	Mus musculus	HUG2,as a enhancer, interact with the ICR at H19 and the epigenetically regulated silencer at DMR1 of Igf2	mesodermal tissues	epigenetically regulated silencer at differentially methylated region 1	in vitro and in vivo	11874916
H19	Tnnt3	DNA-DNA	Regulation	Mus musculus	Biallelic expression ofTNNT3and co-expression withH19in fast skeletal muscle	skeletal muscle	NULL	in vivo	8968746
H19	Igf2	DNA-DNA	Regulation	Mus musculus	imprinting regulates the expression of H19 and Igf2 genes in some differentiating cell lineages	ES cells;teratomas	NULL	in situ hybridisation analysis	8641548
H19	Snai2	DNA-Protein	Regulation	Mus musculus	Slug also up-regulated H19 expression and activated its promoter. 	mouse breast cancer 	enhanced tumor metastasis in vivo	RT-qPCR,ISH,Western blot 	24703882
H19	Igf2	RNA-DNA	Regulation	Mus musculus	the expression of the imprinted genes H19 and Igf2 is female-biased in the mouse eye	mouse eye	NULL	RT-qPCR 	23437185
H19	Hnrnpu	RNA-Protein	Binding	Mus musculus	By RNA pull down assay and western blot analysis, we verified that the full length of H19 can bind to the RNA-binding protein hnRNP U. hnRNP U has been reported to be a member of protein complex, hnRNP U/PCAF/RNA PolII. RIP also displayed the association between H19 and hnRNP U/PCAF/RNA PolII.	HCC tissue, cell lines(SMMC7721, HCCLM3)	H19 suppressed HCC progression metastasis	qPCR, RNAi, RNA pulldown, RIP.	23222811
Halr1	Purb	RNA-Protein	Binding	Mus musculus	linc-HOXA1 RNA represses Hoxa1 by recruiting the protein PURB as a transcriptional cofactor.	NULL	represses Hoxa1 expression	in vivo	23723417
Halr1	Hoxa	RNA-DNA	Binding	Mus musculus	Haunt?RNA Binds to the Chromatin on?HOXA?Loci	embryonic stem cell		ChIRP DNA-seq	25891907
Hm629797	Sub1	RNA-TF	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Hmgb2	RNA-TF	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Ddx5	RNA-Protein	Binding	Mus musculus	p68 interacts with mrhl RNA in the chromatin and is necessary for mrhl RNA occupancy at GRPAM loci	testicular	NULL	ChOP-PCR	25584904
Hm629797	Hnrnpa1	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Hnrnpab	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Rbm3	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Hnrnpa2b1	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Ddx5	RNA-Protein	Binding	Mus musculus	Ddx5/p68 is one of the interacting proteins of mrhl RNA	NULL	NULL	in vitroandin vivo	22665494
Hotair	Ezh2	RNA-Protein	Binding	Mus musculus	phospho-mimic T345D enhances Ezh2 affinity for HOTAIR ncRNA binding	NULL	X chromosome inactivation	in vitro binding assays	21123648
Hotair	Ezh2	RNA-Protein	Binding	Mus musculus	Immunoprecipitation (IP) of PRC2 subunits Ezh2 or Suz12, and separately the histone demethylase LSD1, from posterior E11.5 embryos specifically retrieved Hotair but not Malat1 nor U1 RNA.This result suggests that Hotair binds both H3K27 methylase and H3K4 demethylase complexes.	posterior E11.5 embryos 	NULL	RIP, ChIP,qPCR and ChIP-seq 	24075995
Hotair	Suz12	RNA-Protein	Binding	Mus musculus	Immunoprecipitation (IP) of PRC2 subunits Ezh2 or Suz12, and separately the histone demethylase LSD1, from posterior E11.5 embryos specifically retrieved Hotair but not Malat1 nor U1 RNA.This result suggests that Hotair binds both H3K27 methylase and H3K4 demethylase complexes.	posterior E11.5 embryos 	NULL	RIP, ChIP,qPCR and ChIP-seq 	24075995
Hotair	Kdm1a	RNA-Protein	Binding	Mus musculus	Immunoprecipitation (IP) of PRC2 subunits Ezh2 or Suz12, and separately the histone demethylase LSD1, from posterior E11.5 embryos specifically retrieved Hotair but not Malat1 nor U1 RNA.This result suggests that Hotair binds both H3K27 methylase and H3K4 demethylase complexes.	posterior E11.5 embryos 	NULL	RIP, ChIP,qPCR and ChIP-seq 	24075995
Hottip	Wdr5	RNA-Protein	Binding	Mus musculus	WDR5 binding to HOTTIP	NULL	NULL	RIP	24521543
Hottip	Wdr5	RNA-Protein	Binding	Mus musculus	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	NULL	RIP	21423168
Hottip	Kmt2a	RNA-Protein	Binding	Mus musculus	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	NULL	RIP	21423168
Hoxb5os	H3f3a	RNA-Protein	Binding	Mus musculus	Hoxb5/6as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676
Hoxb5os	Kmt2a	RNA-Protein	Binding	Mus musculus	Hoxb5/6as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676
Hsr1	Hsf1	RNA-TF	Binding	Mus musculus	HSR1/eEF1A complex binds to HSF1 upon heat shock helping to activate HSF1.	NULL	NULL	RIP	16554823
Hsr1	Eef1a2	RNA-Protein	Binding	Mus musculus	the amount of HSR1-eEF1A complexesin vivoincreased upon heat shock	NULL	NULL	RIP	16554823
Jpx	Ctcf	RNA-TF	Binding	Mus musculus	At the onset of XCI, Jpx RNA is upregulated, binds CTCF, and extricates CTCF from one Xist allele.	NULL	NULL	UV-RIP	23791181
Jpx	Xist	RNA-RNA	Regulation	Mus musculus	Jpx, which acts to upregulate Xist in trans at the Xic.	NULL	Deleting Jpx blocks XCI and is female-lethal.	in vitro	21029862
Kcnq1ot1	Dnmt1	RNA-Protein	Binding	Mus musculus	Kcnq1ot1 mediates transcriptional gene silencing by interacting with Dnmt1. Kcnq1ot1 recruits Dnmt1 to somatic DMRs by interacting with Dnmt1.	NULL	NULL	RIP	20573698
Kcnq1ot1	Ezh2	RNA-Protein	Binding	Mus musculus	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091
Kcnq1ot1	Suz12	RNA-Protein	Binding	Mus musculus	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091
Kcnq1ot1	H3f3a	RNA-Protein	Binding	Mus musculus	kcnq1ot1 interacts with both H3K9 and H3K27 methyltransferases	placenta,liver	NULL	RIP	18951091
Kcnq1ot1	Ehmt2	RNA-Protein	Binding	Mus musculus	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091
Kcnq1ot1	Kcnq1	RNA-DNA	Regulation	Mus musculus	Perhaps paternal expression of Kcnq1ot1 opens the chromatin and makes a tissue-specific silencer available to factors that repress Kcnq1	heart	NULL	in vitro	23028363
Kcnq1ot1	Cd81	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Cdkn1c	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Kcnq1	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Ascl2	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Osbpl5	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Tbx5	DNA-TF	Binding	Mus musculus	The Tbx5 fragment also contacts the Kcnq1ot1 promoter and a CTCF binding site 211 kb upstream	NULL	NULL	ChIP, MeDIP and 3C assays 	25539921
